nationality,total_value,avg_age,art_pieces,value_per_piece,best_artists
French,20575467,71,51039,403,William Adolphe Bouguereau
Flemish,600234,59,1331,450,Peter Paul Rubens
Norwegian,278704,82,658,423,Edvard  Munch
Irish,43599,79,95,458,Jack Butler Yeats
American,8090526,70,18821,429,John Singer Sargent
Japanese,215792,82,488,442,Kitagawa  Utamaro
Belgian,340560,63,804,423,Jean Francois Portaels
Italian,1698614,62,4042,420,Guido  Reni
Mexican,66751,60,181,368,Angel  Zarraga
Spanish,1504906,65,3502,429,Dom?nikos  TheotokÃ³poulos
Canadian,174766,65,386,452,Ernest  Lawson
Swiss,1159548,65,2779,417,Jacques Laurent Agasse
Dutch,3941633,56,10191,386,Jan Adam Kruseman
Russian,1714523,68,4011,427,Vasiliy  Polenov
Austrian,591103,59,1290,458,Eugene  DeBlaas
German,1939922,60,4660,416,Lucas  Cranach
Danish,132842,56,306,434,Peder Severin Kroyer
English,2817991,68,6346,444,John Frederick Herring
